study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Gauthier_Boucher_Morissette_etal_2010,Gauthier,"Gauthier, S.; Boucher, D.; Morissette, J. L.; De Grandpré, L.",2010,Fifty-seven years of composition change in the eastern boreal forest of Canada,NA,article,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/271c06b6-10e7-490e-beec-6ea245c0296d,NRCan OSTR
Moroni_Hagemann_Beilman_2010,Moroni,"Moroni, M. T.; Hagemann, U.; Beilman, D. W.",2010,Dead wood is buried and preserved in a Labrador boreal forest,NA,article,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/19dd21ff-f739-4a0c-bd8d-90fcbb3b3c86,NRCan OSTR
Rex_Dubé_2009,Rex,"Rex, J.; Dubé, S.",2009,Hydrologic effects of mountain pine beetle infestation and salvage-harvesting operations,NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/0658b14e-1280-409c-9673-e6fa4ccd3e52,NRCan OSTR
Outerbridge_Trofymow_Lalumière_2009,Outerbridge,"Outerbridge, R. A.; Trofymow, J. A.; Lalumière, A.",2009,Re-establishment of ectomycorrhizae from refugia bordering regenerating Douglas-fir stands in Vancouver Island,NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/1c3a2e9f-715f-4e12-b5cf-aa1b47f0c966,NRCan OSTR
Hazlett_Broad_Gordon_etal_2008,Hazlett,"Hazlett, P. W.; Broad, K.; Gordon, A. M.; Sibley, P. K.; Buttle, J. M.; Larmer, D.",2008,The importance of catchment slope to soil water N and C concentrations in riparian zones: implications for riparian buffer width.,NA,article,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/311a1188-fa38-4d67-924f-80318f303db4,NRCan OSTR
Smith_Paulen_Plouffe_2007,Smith,"Smith, I. R.; Paulen, R. C.; Plouffe, A.",2007,"Surficial geology, Mega River, Alberta",NA,map,https://doi.org/10.4095/224305,https://ostrnrcan-dostrncan.canada.ca/entities/publication/871b6afc-ffaf-44e8-bcba-960acac20716,NRCan OSTR
Wulder_White_Coops_etal_2007,Wulder,"Wulder, M.; White, J. C.; Coops, N. C.; Nelson, T. A.; Boots, B.",2007,Using local spatial autocorrelation to compare outputs from a forest growth model,Ecological Modelling,article,https://doi.org/10.1016/j.ecolmodel.2007.06.033,https://ostrnrcan-dostrncan.canada.ca/entities/publication/17da0bbf-7394-4eeb-85b7-aaebb388f491,NRCan OSTR
Cheatley_Bourque_Meng_etal_2006,Cheatley,"Cheatley, E. G.; Bourque, C. P-A.; Meng, F. -R.; Journeay, W. C.; Swift, D. E.",2006,Regeneration response on different microsites following site preparation and direct aerial seedling in southwestern Nova Scotia. (Abstract),NA,conference-material,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/d32c4de7-5400-4c2a-9485-48f69c4adbe6,NRCan OSTR
NA_2003,NA,NA,2003,Spatial distribution of carbon sources and sinks in Canada's forests,Tellus B,article,https://doi.org/10.1034/j.1600-0889.2003.00036.x,https://ostrnrcan-dostrncan.canada.ca/entities/publication/db5289ec-471a-4c7b-8662-5b5b4666e3fa,NRCan OSTR
Chen_Ju_Cihlar_etal_2003,Chen,"Chen, J. M.; Ju, W.; Cihlar, J.; Price, D. T.; Liu, J.; Chen, W.; Pan, J.; Black, T. A.; Barr, A. G.",2003,Spatial distribution of carbon sources and sinks in Canada's forests,NA,article,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/004bc7b6-3339-4b1a-aa8c-652284edc6be,NRCan OSTR
Jiang_Apps_Peng_etal_2002,Jiang,"Jiang, H.; Apps, M. J.; Peng, C. H.; Zhang, Y.; Liu, J.",2002,Modelling the influence of harvesting on Chinese boreal forest carbon dynamics,NA,article,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/a3da852e-53c9-426e-a028-fa65e1040666,NRCan OSTR
Peng_Liu_Dang_etal_2002,Peng,"Peng, C. H.; Liu, J.; Dang, Q.; Apps, M. J.; Jiang, H.",2002,TRIPLEX: a generic hybrid model for predicting forest growth and carbon and nitrogen dynamics,NA,article,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/0622e71e-d313-4d1b-9fe4-e1852043592c,NRCan OSTR
Chen_Chen_Cihlar_2000,Chen,"Chen, W.; Chen, J.; Cihlar, J.",2000,"An integrated terrestrial ecosystem carbon-budget model based on changes in disturbance, climate, and atmospheric chemistry",Ecological Modelling,article,https://doi.org/10.1016/S0304-3800(00)00371-9,https://ostrnrcan-dostrncan.canada.ca/entities/publication/e97c337f-ae26-47da-8650-12fecc663d17,NRCan OSTR
NA_2000,NA,NA,2000,Carbon offset potentials of four alternative forest management strategies in Canada: A simulation study,Mitigation and Adaptation Strategies for Global Change,article,https://doi.org/10.1023/A:1009671422344,https://ostrnrcan-dostrncan.canada.ca/entities/publication/c9ee5f22-4608-446d-a26f-eb89d3d51abd,NRCan OSTR
