study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Blum_Bischof_Sauter_etal_2015,Blum,Ronny Blum;Rainer Bischof;Udo Hans Sauter;Joerg Foeller,2015,"Tests of reception of the combination of GPS and GLONASS signals under and above forest canopy in the Black Forest, Germany, using choke ring antennas",International Journal of Forest Engineering,article,https://doi.org/10.1080/14942119.2015.1122945,https://doi.org/10.1080/14942119.2015.1122945,OpenAlex
Keeton_Franklin_2004,Keeton,William S. Keeton;Jerry F. Franklin,2004,Fire-related landform associations of remnant old-growth trees in the southern Washington Cascade Range,Canadian Journal of Forest Research,article,https://doi.org/10.1139/x04-111,https://doi.org/10.1139/x04-111,OpenAlex
Guo_Zang_Han_etal_2019,Guo,Bing Guo;Wenqian Zang;Baomin Han;Fei Yang;Wei Luo;Tianli He;Yewen Fan;Xiao Yang;Shuting Chen,2019,Dynamic monitoring of desertification in Naiman Banner based on feature space models with typical surface parameters derived from LANDSAT images,Land Degradation and Development,article,https://doi.org/10.1002/ldr.3533,https://doi.org/10.1002/ldr.3533,OpenAlex
Dickinson_Kirkpatrick_1987,Dickinson,Katharine J. M. Dickinson;JB Kirkpatrick,1987,"The Short-Term Effects of Clearfelling and Slash-Burning on the Richness, Diversity and Relative Abundance of Higher Plant Species in Two Types of Eucalypt Forest on Dolerite in Tasmania",Australian Journal of Botany,article,https://doi.org/10.1071/bt9870601,https://doi.org/10.1071/bt9870601,OpenAlex
Kuenzer_Dech_2015,Kuenzer,Claudia Kuenzer;Stefan Dech,2015,"Thermal Infrared Remote Sensing:Sensors, Methods, Applications",Photogrammetric Engineering & Remote Sensing,article,https://doi.org/10.1016/s0099-1112(15)30104-x,http://ci.nii.ac.jp/ncid/BB13038266,OpenAlex
Holzinger_Saranti_Angerschmid_etal_2022,Holzinger,Andreas Holzinger;Anna Saranti;Alessa Angerschmid;Carl Orge Retzlaff;Andreas Gronauer;Vladimir Pejaković;Francisco Medel-Jiménez;Theresa Krexner;Christoph Gollob;Karl Stampfer,2022,Digital Transformation in Smart Farm and Forest Operations Needs Human-Centered AI: Challenges and Future Directions,Sensors,article,https://doi.org/10.3390/s22083043,https://doi.org/10.3390/s22083043,OpenAlex
Susanti_Miardini_Harjadi_etal_2017,Susanti,Pranatasari Dyah Susanti;Arina Miardini;Beny Harjadi;Pranatasari Dyah Susanti;Arina Miardini;Beny Harjadi,2017,ANALISIS KERENTANAN TANAH LONGSOR SEBAGAI DASAR MITIGASI DI KABUPATEN BANJARNEGARA (Vulnerability analysis as a basic for landslide mitigation in Banjarnegara Regency),Jurnal Penelitian Pengelolaan Daerah Aliran Sungai,article,https://doi.org/10.20886/jppdas.2017.1.1.49-59,https://doi.org/10.20886/jppdas.2017.1.1.49-59,OpenAlex
Ayres_Colliander_Cosh_etal_2021,Ayres,Edward Ayres;Andreas Colliander;Michael H. Cosh;Joshua A. Roberti;Samuel M. Simkin;Melissa A. Genazzio,2021,Validation of SMAP Soil Moisture at Terrestrial National Ecological Observatory Network (NEON) Sites Show Potential for Soil Moisture Retrieval in Forested Areas,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,article,https://doi.org/10.1109/jstars.2021.3121206,https://doi.org/10.1109/jstars.2021.3121206,OpenAlex
Niculescu_Boissonnat_Lardeux_etal_2020,Niculescu,Simona Niculescu;Jean-Baptiste Boissonnat;Cédric Lardeux;Dar A. Roberts;Jenică Hanganu;Antoine Billey;Adrian Constantinescu;Mihai Doroftei,2020,Synergy of High-Resolution Radar and Optical Images Satellite for Identification and Mapping of Wetland Macrophytes on the Danube Delta,Remote Sensing,article,https://doi.org/10.3390/rs12142188,https://doi.org/10.3390/rs12142188,OpenAlex
Tanase_Panciera_Lowell_etal_2015,Tanase,Mihai A. Tanase;Rocco Panciera;Kim Lowell;Cristina Aponte,2015,Monitoring live fuel moisture in semiarid environments using L-band radar data,International Journal of Wildland Fire,article,https://doi.org/10.1071/wf14149,https://doi.org/10.1071/wf14149,OpenAlex
Mahmoud_Alazba_2015,Mahmoud,Shereif H. Mahmoud;A. A. Alazba,2015,Hydrological Response to Land Cover Changes and Human Activities in Arid Regions Using a Geographic Information System and Remote Sensing,PLoS ONE,article,https://doi.org/10.1371/journal.pone.0125805,https://doi.org/10.1371/journal.pone.0125805,OpenAlex
Heinemann_Kitzberger_2006,Heinemann,Karin Heinemann;Thomas Kitzberger,2006,"Effects of position, understorey vegetation and coarse woody debris on tree regeneration in two environmentally contrasting forests of north‐western Patagonia: a manipulative approach",Journal of Biogeography,article,https://doi.org/10.1111/j.1365-2699.2006.01511.x,https://doi.org/10.1111/j.1365-2699.2006.01511.x,OpenAlex
